TAZ,AGG_TAZ,PUMA,DISTRICT,REGION,SCHOOLDISTRICT
1,0,1,3,1,1
2,0,1,3,1,1
3,0,1,3,1,1
4,0,1,3,1,1
5,0,1,3,1,1
6,0,1,3,1,1
7,0,1,3,1,1
8,0,1,3,1,1
9,0,1,3,1,1
10,0,1,3,1,1
11,0,1,3,1,1
12,0,1,3,1,1
13,0,1,3,1,1
14,0,1,3,1,1
15,0,1,3,1,1
101,1,13,2,1,1
102,1,13,2,1,1
103,1,13,2,1,1
104,1,13,2,1,1
105,1,1,3,1,1
106,1,13,2,1,1
107,1,13,2,1,1
108,1,13,2,1,1
109,1,13,2,1,1
110,1,13,2,1,1
111,1,13,2,1,1
112,1,13,2,1,1
113,1,13,2,1,1
201,2,17,1,1,1
202,2,17,1,1,1
203,2,17,1,1,1
204,2,17,1,1,1
205,2,17,1,1,1
206,2,17,1,1,1
207,2,17,1,1,1
208,2,17,1,1,1
209,2,17,1,1,1
301,3,17,1,1,1
302,3,1,3,1,1
303,3,17,1,1,1
304,3,17,1,1,1
401,4,1,3,1,1
402,4,1,3,1,1
403,4,1,3,1,1
404,4,1,3,1,1
405,4,1,3,1,1
406,4,1,3,1,1
407,4,1,3,1,1
408,4,1,3,1,1
409,4,1,3,1,1
501,5,2,3,1,1
502,5,2,3,1,1
503,5,2,3,1,1
504,5,2,3,1,1
505,5,2,3,1,1
506,5,2,3,1,1
507,5,2,3,1,1
508,5,2,3,1,1
509,5,2,3,1,1
510,5,2,3,1,1
511,5,2,3,1,1
601,6,999,999,1,1
602,6,999,999,1,1
603,6,999,999,1,1
604,6,999,999,1,1
605,6,1,3,1,1
606,6,4,3,1,1
607,6,4,3,1,1
608,6,4,3,1,1
609,6,999,999,1,1
610,6,999,999,1,1
611,6,999,999,1,1
701,7,1,3,1,1
702,7,2,3,1,1
703,7,1,3,1,1
704,7,999,999,1,1
705,7,1,3,1,1
706,7,1,3,1,1
707,7,1,3,1,1
708,7,999,999,1,1
801,8,1,3,1,1
802,8,1,3,1,1
803,8,1,3,1,1
804,8,1,3,1,1
805,8,13,2,1,1
806,8,1,3,1,1
807,8,1,3,1,1
808,8,1,3,1,1
809,8,1,3,1,1
810,8,1,3,1,1
901,9,13,2,1,1
902,9,13,2,1,1
903,9,13,2,1,1
904,9,13,2,1,1
905,9,13,2,1,1
906,9,13,2,1,1
